category,search_term,title,identifier,url,mediatype,confidence_score,creator,publisher,page_count
visual_art_and_artists,Jean Dubuffet,Jean Dubuffet : A Retrospective,jeandubuffetretr00dubu,https://archive.org/details/jeandubuffetretr00dubu,texts,100,"Dubuffet, Jean",[New York : Solomon R. Guggenheim Foundation],318
visual_art_and_artists,Terry Richardson,Terry world,terryworld0000rich,https://archive.org/details/terryworld0000rich,texts,100,"Richardson, Terry 1965- Verfasser","Hong Kong Köln London Los Angeles, Calif. Madrid Paris Tokyo Taschen",298
literature,Friedrich Nietzsche,Thus spake Zarathustra,thusspakezarathu00niet,https://archive.org/details/thusspakezarathu00niet,texts,100,"Nietzsche, Friedrich Wilhelm, 1844-1900",Modern Library,396
literature,Charles Bukowski,"Love is a dog from hell : poems, 1974-1977",loveisdogfromhel00buko,https://archive.org/details/loveisdogfromhel00buko,texts,100,"Bukowski, Charles","Santa Barbara, Calif. : Black Sparrow Press",322
figures,Napoleon,"Napoleon's letters to Josephine, 1796-1812;",napoleonsletters00napoiala,https://archive.org/details/napoleonsletters00napoiala,texts,100,"Napoleon I, Emperor of the French, 1769-1821, Hall, Henry Folijambe","London : J. M. Dent & co.; New York, E. P. Dutton & co.",382
figures,Napoleon,Memorial de Sainte Helene : journal of the private life and conversations of the Emperor Napoleon at Saint Helena,memorialdesainte00lasc,https://archive.org/details/memorialdesainte00lasc,texts,100,"Las Cases, Emmanuel-Auguste-Dieudonné, comte de, 1766-1842","Lexington, Ky. : Printed by T. Smith",418
figures,Napoleon,"Recollections of the Emperor Napoleon, during the first three years of his captivity on the island of St. Helena: including the time of his residence at her father's house, ""The Briars,""",recollectionsofe00abeliala,https://archive.org/details/recollectionsofe00abeliala,texts,100,"Abell, Lucia Elizabeth Balcombe, d. 1871",London : J. Murray,296
literature,Albert Camus,The plague,plague00camu_khb,https://archive.org/details/plague00camu_khb,texts,99,"Camus, Albert, 1913-1960",New York : Vintage Books,306
figures,Napoleon,"The story of Napoleon's death-mask, told from the original documents",storyofnapoleons00wats,https://archive.org/details/storyofnapoleons00wats,texts,97,"Watson, George Leo de St. M","London : John Lane; New York, John Lane company",264
figures,Napoleon,The confidential correspondence of Napoleon Bonaparte with his brother Joseph [electronic resource],confidentialcorr01naporich,https://archive.org/details/confidentialcorr01naporich,texts,96,"Napoleon I, Emperor of the French, 1769-1821",,416
visual_art_and_artists,Francis Picabia,The artwork caught by the tail : Francis Picabia and Dada in Paris,artworkcaughtbyt0000bake,https://archive.org/details/artworkcaughtbyt0000bake,texts,95,"Baker, George (George Thomas), 1970-","Cambridge, Mass. : The MIT Press",506
visual_art_and_artists,Francis Picabia,"I am a beautiful monster : poetry, prose, and provocation",iambeautifulmons0000pica,https://archive.org/details/iambeautifulmons0000pica,texts,95,"Picabia, Francis, 1879-1953","Cambridge, Mass. : MIT Press",498
visual_art_and_artists,Francis Picabia,Picabia,picabia0000borr,https://archive.org/details/picabia0000borr,texts,95,"Borràs, Maria Lluïsa",New York : Rizzoli,562
visual_art_and_artists,Bruce Conner,Bruce Conner : it's all true,isbn_9780520290563,https://archive.org/details/isbn_9780520290563,texts,95,,San Francisco : San Francisco Museum of Modern Art in association with University of California Press,394
literature,Albert Camus,"Notebooks, 1935-1942",notebooks19351942000unse,https://archive.org/details/notebooks19351942000unse,texts,95,"Camus, Albert, 1913-1960","New York, Knopf",256
literature,Charles Bukowski,"Erections, ejaculations, exhibitions and general tales of ordinary madness",erectionsejacula00buko,https://archive.org/details/erectionsejacula00buko,texts,95,"Bukowski, Charles","San Francisco, Calif. : City Lights Books",496
figures,Columbine,Columbine,columbine00cull,https://archive.org/details/columbine00cull,texts,95,"Cullen, David, 1961-",New York : Twelve,426
visual_art_and_artists,Henry Darger,"Henry Darger, throwaway boy : the tragic life of an outsider artist",henrydargerthrow0000elle,https://archive.org/details/henrydargerthrow0000elle,texts,91,"Elledge, Jim, 1950-",New York : Overlook Duckworth,426
literature,Bret Easton Ellis,Less than zero,lessthanzero00bret,https://archive.org/details/lessthanzero00bret,texts,91,"Ellis, Bret Easton",New York : Penguin Books,214
literature,Charles Bukowski,Hot Water Music,hotwatermusic00buko,https://archive.org/details/hotwatermusic00buko,texts,91,"Bukowski, Charles","S. l. Black Sparrow Press, U.S. Black Sparrow Press Black Sparrow Press, U.S. Black Sparrow Press",234
literature,Charles Bukowski,"War all the time : poems, 1981-1984",waralltimepoems100buko,https://archive.org/details/waralltimepoems100buko,texts,91,"Bukowski, Charles",Santa Rosa : Black Sparrow Press,296
visual_art_and_artists,Francis Picabia,Francis Picabia,francispicabia00camf,https://archive.org/details/francispicabia00camf,texts,90,"Camfield, William A",New York : Solomon R. Guggenheim Museum,174
literature,Bret Easton Ellis,American psycho,americanpsycho0000elli_j9t1,https://archive.org/details/americanpsycho0000elli_j9t1,texts,90,"Ellis, Bret Easton",London : Picador,406
literature,Bret Easton Ellis,Lunar Park,isbn_0375727272,https://archive.org/details/isbn_0375727272,texts,90,"Ellis, Bret Easton",New York : Vintage,422
literature,Friedrich Nietzsche,"The birth of tragedy, or Hellenism and pessimism",thebirthoftraged00nietuoft,https://archive.org/details/thebirthoftraged00nietuoft,texts,90,"Nietzsche, Friedrich Wilhelm, 1844-1900",London : G. Allen & Unwin ; New York : Macmillan,244
literature,Friedrich Nietzsche,The complete works of Friedrich Nietzsche : the first complete and authorized English translation,completenietasch10nietuoft,https://archive.org/details/completenietasch10nietuoft,texts,90,"Nietzsche, Friedrich Wilhelm, 1844-1900, Levy, Oscar Ludwig, 1867-",New York : Macmillan,390
literature,Friedrich Nietzsche,The Antichrist,theantichrist19322gut,https://archive.org/details/theantichrist19322gut,texts,90,"Nietzsche, Friedrich Wilhelm, 1844-1900",,
literature,Charles Bukowski,"Screams from the balcony : selected letters, 1960-1970",screamsfrombalco00buko,https://archive.org/details/screamsfrombalco00buko,texts,90,"Bukowski, Charles, Cooney, Seamus",Santa Rosa : Black Sparrow Press,394
literature,Charles Bukowski,South of no north; stories of the buried life,southofnonorthst00buko,https://archive.org/details/southofnonorthst00buko,texts,90,"Bukowski, Charles","Los Angeles, Black Sparrow Press",204
literature,Marquis de Sade,The Revolutionary Ideas Of The Marquis De Sade,revolutionaryide029234mbp,https://archive.org/details/revolutionaryide029234mbp,texts,90,"Gorer, Geoffrey",Wishart And Company,277
literature,Marquis de Sade,Letters from prison,isbn_9781559704113,https://archive.org/details/isbn_9781559704113,texts,90,"Sade, marquis de, 1740-1814",New York : Arcade Pub.,440
literature,Andre Breton,Poems of André Breton : a bilingual anthology,poemsofandrbre00bretrich,https://archive.org/details/poemsofandrbre00bretrich,texts,90,"Breton, André, 1896-1966, Cauvin, Jean Pierre, Caws, Mary Ann",Austin : University of Texas Press,316
figures,Mussolini,"Mussolini as revealed in his political speeches, (November 1914 - August 1923)",mussoliniasrevea00mussuoft,https://archive.org/details/mussoliniasrevea00mussuoft,texts,90,"Mussolini, Benito, 1883-1945, Quaranta di San Severino, Bernardo, barone di, tr. [and] ed",London : Dent,426
figures,Mussolini,My Autobiography,MyAutobiography,https://archive.org/details/MyAutobiography,texts,90,Benito Mussolini,Charles Scribner's Sons,364
figures,Mussolini,Talks with Mussolini,TalksWithMussolini,https://archive.org/details/TalksWithMussolini,texts,90,"Mussolini, Benito, 1883-1945, Ludwig, Emil, 1881-1948, Paul, Eden, 1865-1944, tr, Paul, Cedar, joint tr","London, G. Allen & Unwin",243
figures,Napoleon,Napoleon's Oraculum and dream book. Containing the great oracle of human destiny,napoleonsoraculu00newy,https://archive.org/details/napoleonsoraculu00newy,texts,90,,"New York, F. Tousey",70
figures,Napoleon,The Campaigns of Napoleon,campaignsofnapol00chan,https://archive.org/details/campaignsofnapol00chan,texts,90,David G. Chandler,Weidenfeld and Nicolson,1228
figures,Napoleon,The officer's manual. Napoleon's maxims of war,officersmanualna00napo,https://archive.org/details/officersmanualna00napo,texts,90,"Napoleon I, Emperor of the French, 1769-1821, Burnod, ------, D'Aguilar, G. C. (George Charles), Sir, 1784-1855","Richmond, West & Johnston",170
