"category","search_term","title","identifier","url","mediatype","confidence_score","creator","publisher","page_count"
"visual_art_and_artists","Jean Dubuffet","Jean Dubuffet : A Retrospective","jeandubuffetretr00dubu","https://archive.org/details/jeandubuffetretr00dubu","texts","100","Dubuffet, Jean","[New York : Solomon R. Guggenheim Foundation]","318"
"visual_art_and_artists","Bauhaus","Kandinsky : Russian and Bauhaus years, 1915-1933","kandinskyrussian00kand","https://archive.org/details/kandinskyrussian00kand","texts","100","Kandinsky, Wassily, 1866-1944, Poling, Clark V, Solomon R. Guggenheim Museum, High Museum of Art, Zurich Art Gallery, Bauhaus-Archiv, Museum für Gestaltung","New York : Solomon R. Guggenheim Museum","370"
"visual_art_and_artists","Bauhaus","Bauhaus, 1919-1933","bauhaus1919193300dros","https://archive.org/details/bauhaus1919193300dros","texts","100","Magdalena Droste","B. Taschen","266"
"visual_art_and_artists","Terry Richardson","Terry world","terryworld0000rich","https://archive.org/details/terryworld0000rich","texts","100","Richardson, Terry 1965- Verfasser","Hong Kong Köln London Los Angeles, Calif. Madrid Paris Tokyo Taschen","298"
"film_and_cinema","Kenneth Anger","Hollywood Babylon","hollywoodbabylon00ange","https://archive.org/details/hollywoodbabylon00ange","texts","100","Anger, Kenneth","San Francisco : Straight Arrow Books ; [New York] : distributed by Simon and Schuster","332"
"literature","Friedrich Nietzsche","The complete works of Friedrich Nietzsche","cu31924021569151","https://archive.org/details/cu31924021569151","texts","100","Nietzsche, Friedrich Wilhelm, 1844-1900","[Edinburgh, London, T. N. Foulis]","214"
"literature","Friedrich Nietzsche","Thus spake Zarathustra","thusspakezarathu00niet","https://archive.org/details/thusspakezarathu00niet","texts","100","Nietzsche, Friedrich Wilhelm, 1844-1900","Modern Library","396"
"literature","Friedrich Nietzsche","Thus spake Zarathustra : a book for all and none","thusspakezara00nietiala","https://archive.org/details/thusspakezara00nietiala","texts","100","Nietzsche, Friedrich Wilhelm, 1844-1900","London : T.F. Unwin","532"
"literature","Friedrich Nietzsche","Zur Genealogie der Moral : eine Streitschrift","zurgenealogieder00niet","https://archive.org/details/zurgenealogieder00niet","texts","100","Nietzsche, Friedrich Wilhelm, 1844-1900","Leipzig : C.G. Naumann","210"
"literature","Henry Miller","A dictionary of the Choctaw language","choctawlanguag00byinrich","https://archive.org/details/choctawlanguag00byinrich","texts","100","Byington, Cyrus, 1793-1868, Smithsonian Institution. Bureau of American Ethnology, Swanton, John Reed, 1873-1958, Halbert, Henry S. (Henry Sale), 1837-1916","Washington : U.S. G.P.O","650"
"literature","Henry Miller","Names of foreigners who took the oath of allegiance to the province and state of Pennsylvania, 1727-1775, with the foreign arrivals, 1786-1808","namesofforeigner00eglew","https://archive.org/details/namesofforeigner00eglew","texts","100","Egle, William Henry, 1830-1901","Harrisburg, Pa. : E. K. Meyers, state printer","806"
"literature","Henry Miller","The Cox family in America","coxfamilyinameri00coxh","https://archive.org/details/coxfamilyinameri00coxh","texts","100","Cox, Henry Miller, 1854-1916","New York, The author","880"
"literature","Henry Miller","Wolcott genealogy : the family of Henry Wolcott, one of the first settlers of Windsor, Conn.","wolcottgenealogy00wolc","https://archive.org/details/wolcottgenealogy00wolc","texts","100","Wolcott, Chandler, 1875-","Rochester, N.Y. : Genese Press","560"
"literature","Henry Miller","History of Summers County from the earliest settlement to the present time","historyofsummers00mill","https://archive.org/details/historyofsummers00mill","texts","100","Miller, James H. (James Henry), b. 1856, Clark, Maude Vest","[Hinton? W. Va.]","1056"
"literature","Henry Miller","Pennsylvania archives second series","pennsylvaniaarch17linn","https://archive.org/details/pennsylvaniaarch17linn","texts","100","Linn, John Blair, 1831-1899, ed, Egle, William Henry, 1830-1901, ed, Pennsylvania. Secretary of the Commonwealth, Pennsylvania. General Assembly","Harrisburg : State printer","802"
