artist_name,artist_url,works,work_urls,category
First Series,https://ubu.com/ubu/ubu_first.html,"Pause Button, The Relative Minor, Now That Communism is Dead My Life Feels Empty!, What the President Will Say and Do!!, Vexed, Vérité, 2197, Sunset Debris, Response, Little Books / Indians, The Lesser Magoo, The Tapeworm Foundry","https://ubu.com/ubu/davies_pause.html, https://ubu.com/ubu/ferguson_relative.html, https://ubu.com/ubu/foreman_commie.html, https://ubu.com/ubu/gins_president.html, https://ubu.com/ubu/grim_vexed.html, https://ubu.com/ubu/scharf_verite.html, https://ubu.com/ubu/silliman_2197.html, https://ubu.com/ubu/silliman_sunset.html, https://ubu.com/ubu/spahr_response.html, https://ubu.com/ubu/weiner_indians.html, https://ubu.com/ubu/wellman_magoo.html, https://ubu.com/ubu/wershler_tapeworm.html",/ubu Editions
Second Series,https://ubu.com/ubu/ubu_second.html,"Eclat, Situation Comedies: Foxy Moron, Linear C & The I and the You, Smokes, Rough Bush and Other Poems, This Window Makes Me Feel, Name, A Novel, Cruise of the Pnyx, São Paolo, The Mauberley Series, Trancelated (from Coinsides), Spleen: Thirty-one versions of Baudelaire's Je suis comme le roi..., Spaghetti Dreadful (trailer for A Penny Dreadful), Circadium, Low-Level Bureaucratic Structures / Principles of the Emeryville Shellmound, The Chinese Notebook","https://ubu.com/ubu/bergvall_eclat.html, https://ubu.com/ubu/cole_foxy.html, https://ubu.com/ubu/day_linear.html, https://ubu.com/ubu/dworkin_smokes.html, https://ubu.com/ubu/ferguson_bush.html, https://ubu.com/ubu/fitterman_window.html, https://ubu.com/ubu/toadex_name.html, https://ubu.com/ubu/kelly_pnyx.html, https://ubu.com/ubu/kent_sao.html, https://ubu.com/ubu/kunin_mauberley.html, https://ubu.com/ubu/lightman_trance.html, https://ubu.com/ubu/moore_spleen.html, https://ubu.com/ubu/morin_spaghetti.html, https://ubu.com/ubu/price_circadium.html, https://ubu.com/ubu/shaw_low.html, https://ubu.com/ubu/silliman_chinese.html",/ubu Editions
Third Series,https://ubu.com/ubu/ubu_third.html,"Divestiture - A (1994), The Ball // 30 Times in 2 Days (2005), The Last Man (1957), SOS Poetry (2007), Appendices, Illustrations & Notes (1999), Horizons (1984), The Outrage Against Words (1978), Big Bang (1973), Properties of Several Geometric or Non-Geometric Figures (1971), Shorter American Memory (1988), A Letter For Queen Victoria: An Opera (1974), Smokes, Lesser Magoo, The Sundance Kid Was Beautiful","https://ubu.com/ubu/andrews_divestiture-a.html, https://ubu.com/ubu/benson_ball.html, https://ubu.com/ubu/blanchot_last_man.html, https://ubu.com/ubu/byrne_sos.html, https://ubu.com/ubu/gower_delatorre.html, https://ubu.com/ubu/higgins_horizons.html, https://ubu.com/ubu/noel_outrage.html, https://ubu.com/ubu/sarduy_big_bang.html, https://ubu.com/ubu/simon_properties.html, https://ubu.com/ubu/waldrop_shorter.html, https://ubu.com/ubu/wilson_opera.html, https://ubu.com/ubu/dworkin_smokes.html, https://ubu.com/ubu/wellman_magoo.html, https://ubu.com/media/sound/dial_a_poem_poets/big_ego/Big_Ego_05-wilson.mp3",/ubu Editions
Publishing The Unpublishable,https://ubu.com/ubu/unpub.html,"WhDiP, a sequence from White Dialect Poetry, Libretto from White Dialect Poetry, Hi My Name Is: A Libretto, Rumor, Couché sur le ventre, Onan The Illiterate, The Unsurpassed Joy, An Intolerable Piece of Writing: Pedagogy as Performed Absence, Maps, English in Mallarmé, American Dust, The Kiss of Frankenstein, Low Resolution - 7pp (PDF, 4mb), High Resolution - 7pp (PDF, 12.4mb), Booty, Egg On, Voice Over, By M, Selected Criticism, Jeffrey Jullich, BIB., Overkill: First Poems in English (1993-1995), Math, from Conversations Over Stolen Food, The Xenotext Experiment, The Voice of New Music (1972-1982), Speech Genres 1-2, Cloud / Ridge, Human / Nature, Hemd stafakarlanna, 1.hluti, Three Works, Magnus Cooney, Through a Blue Field, All The Numbers From Numbers, Spring Without Alan Licht / Dime Double Minutemen Nickels On The / Lou Reed Minus Lou Reed / (Give Them Enough Nope), Between Words, How To Write / How To Edit, A Play on Words, Two Poems Circa 1992, Example As Figure, Men, Falling Apart NYC, Issue 1, Shopping For Oliver's Chili, Statement of Facts, Disclosure, Hurricane, THE_CITY Battery: a Neurological Evaluation of THE_CITY, K-CoreaINC.K (Section A), One-Way Street: An Index, Flytning, ""9+11"", ingredients, The Field, The History, Amalgam: Collection of poems and writings 2000 - 2010, Opulent Stone Moccasins, II, The Dammed, Regurgitofagia, Nail Hearts Clip Epistolary Fantasy Blog from 2009-2010","https://ubu.com/ubu/unpub/Unpub_001_Andrews_Whdip.pdf, https://ubu.com/ubu/unpub/Unpub_002_Andrews_Libretto.pdf, https://ubu.com/ubu/unpub/Unpub_003_Fitterman_Hi.pdf, https://ubu.com/ubu/unpub/Unpub_004_Nufer_Rumor.pdf, https://ubu.com/ubu/unpub/Unpub_005_Closky_Couche.pdf, https://ubu.com/ubu/unpub/Unpub_006_Dirle_Onan.pdf, https://ubu.com/ubu/unpub/Unpub_007_Rosenfield_Unsurpassed.pdf, https://ubu.com/ubu/unpub/Unpub_008_Morris_Intolerable.pdf, https://ubu.com/ubu/unpub/Unpub_009_Dworkin_Maps.pdf, https://ubu.com/ubu/unpub/Unpub_010_Manson_Mallarme.pdf, https://ubu.com/ubu/unpub/Unpub_011_Dunn_American.pdf, https://ubu.com/ubu/unpub/Unpub_012_Kuchar_Frankenstein.pdf, https://ubu.com/ubu/unpub/Unpub_013_TDavis_SweetLoRes.pdf, https://ubu.com/ubu/unpub/Unpub_013_TDavis_Sweet.pdf, https://ubu.com/ubu/unpub/Unpub_014_Stefans_Booty.pdf, https://ubu.com/ubu/unpub/Unpub_015_BJDavis_VoiceOver.pdf, https://ubu.com/ubu/unpub/Unpub_016_Bang_ByM.pdf, https://ubu.com/ubu/unpub/Unpub_017_Jullich_Selected-Criticism.pdf, https://ubu.com/ubu/unpub/Unpub_018_Lin_BIB.pdf, https://ubu.com/ubu/unpub/Unpub_019_DeLaTorre_Overkill.pdf, https://ubu.com/ubu/unpub/Unpub_020_Sigler_Math.pdf, https://ubu.com/ubu/unpub/Unpub_021_CotnerFitch_Conversations.pdf, https://ubu.com/ubu/unpub/Unpub_022_Bok_Xenotext.pdf, https://ubu.com/ubu/unpub/Unpub_023_Johnson.pdf, https://ubu.com/ubu/unpub/Unpub_024_Shirinyan_Speech-Genres.pdf, https://ubu.com/ubu/unpub/Unpub_025_Ratcliffe_Cloud.pdf, https://ubu.com/ubu/unpub/Unpub_026_Ratcliffe_Human.pdf, https://ubu.com/ubu/unpub/Unpub_027_Nordhal.pdf, https://ubu.com/ubu/unpub/Unpub_028_Bernstein.pdf, https://ubu.com/ubu/unpub/Unpub_029_Coffey.pdf, https://ubu.com/ubu/unpub/Unpub_030_Rubinstein.pdf, https://ubu.com/ubu/unpub/Unpub_031_Goldsmith.pdf, https://ubu.com/ubu/unpub/Unpub_032_Licht.pdf, https://ubu.com/ubu/unpub/Unpub_033_Clark.pdf, https://ubu.com/ubu/unpub/Unpub_034_Beaulieu.pdf, https://ubu.com/ubu/unpub/Unpub_035_Brown.pdf, https://ubu.com/ubu/unpub/Unpub_036_Schwabsky.pdf, https://ubu.com/ubu/unpub/Unpub_037_Byrne.pdf, https://ubu.com/ubu/unpub/Unpub_038_Peters.pdf, https://ubu.com/ubu/unpub/Unpub_039_Tegeder.pdf, https://ubu.com/ubu/unpub/Unpub_040_Issue1.pdf, https://ubu.com/ubu/unpub/Unpub_041_Katz.pdf, https://ubu.com/ubu/unpub/Unpub_042_Place.pdf, https://ubu.com/media/text/Unpub_043_Lomax.pdf, https://ubu.com/ubu/unpub/Unpub_044_Obrist-Tiravanija.pdf, https://ubu.com/ubu/unpub/Unpub_045_Belgum.pdf, https://ubu.com/ubu/unpub/Unpub_046_Trecartin.pdf, https://ubu.com/ubu/unpub/Unpub_047_Gray-Paulsen.pdf, https://ubu.com/ubu/unpub/Unpub_048_Bjoljahn-Moller.pdf, https://ubu.com/contemp/leibovici/Leibovici-Franck_9+11.pdf, https://ubu.com/ubu/unpub/Unpub_050_Schmitt.pdf, https://ubu.com/ubu/unpub/Unpub_051_Serup.pdf, https://ubu.com/ubu/unpub/Unpub_052_Rowles.pdf, https://ubu.com/ubu/unpub/Unpub_053_Peake.pdf, https://ubu.com/ubu/unpub/Unpub_054_Smith.pdf, https://ubu.com/ubu/unpub/Unpub_056_Giasson.pdf, https://ubu.com/ubu/unpub/Unpub_057_Nufer.pdf, https://ubu.com/ubu/unpub/Unpub_058_Melamed.pdf, https://ubu.com/ubu/unpub/Unpub_059_Molina.pdf",/ubu Editions
Divestiture - A (1994),https://ubu.com/ubu/andrews_divestiture-a.html,"Download PDF, editing is the reading moment","https://ubu.com/ubu/pdf/andrews_divestiture-a.pdf, https://ubu.com/papers/andrews.html",/ubu Editions
The Ball // 30 Times in 2 Days (2005),https://ubu.com/ubu/benson_ball.html,Download PDF,https://ubu.com/ubu/pdf/benson_ball.pdf,/ubu Editions
Eclat,https://ubu.com/ubu/bergvall_eclat.html,Download PDF,https://ubu.com/ubu/pdf/bergvall_eclat.pdf,/ubu Editions
The Last Man (1957),https://ubu.com/ubu/blanchot_last_man.html,"Download PDF, Death of the Author","https://ubu.com/ubu/pdf/blanchot_last_man.pdf, https://ubu.com/aspen/aspen5and6/threeEssays.html#barthes",/ubu Editions
SOS Poetry (2007),https://ubu.com/ubu/byrne_sos.html,Download PDF,https://ubu.com/ubu/pdf/byrne_sos.pdf,/ubu Editions
Situation Comedies: Foxy Moron,https://ubu.com/ubu/cole_foxy.html,Download PDF,https://ubu.com/ubu/pdf/cole_foxy.pdf,/ubu Editions
