artist_name,artist_url,works,work_urls,category
"Vito Acconci: 4 works: ""RE"";",https://ubu.com/concept/acconci_re.html,Vito Acconci on UbuWeb Sound,https://ubu.com/sound/acconci.html,Conceptual Writing
"[""READ THIS WORD""];",https://ubu.com/concept/acconci_read.html,Vito Acconci on UbuWeb Sound,https://ubu.com/sound/acconci.html,Conceptual Writing
"""Points for Motion"";",https://ubu.com/concept/acconci_points.html,Vito Acconci on UbuWeb Sound,https://ubu.com/sound/acconci.html,Conceptual Writing
"""Installment/Installation: Move/Remove""",https://ubu.com/concept/acconci_installment.html,Vito Acconci on UbuWeb Sound,https://ubu.com/sound/acconci.html,Conceptual Writing
"Terry Atkinson and Michael Baldwin: ""22 Sentences: The French Army""",https://ubu.com/concept/atkinson_22.html,,,Conceptual Writing
"John Baldessari: ""I will not make any more boring art""",https://ubu.com/concept/bald_boring.html,,,Conceptual Writing
"Robert Barry: 2 works: ""Art Work"";",https://ubu.com/concept/barry_art.html,,,Conceptual Writing
"[""This work has been and continues to be...""]",https://ubu.com/concept/barry_this.html,,,Conceptual Writing
Samuel Beckett: from Watt,https://ubu.com/concept/beckett_watt.html,,,Conceptual Writing
Christian Bök: 3 works: 10 Maps of Sardonic Wit;,https://ubu.com/concept/bok_maps.html,"Christian Bök on UbuWeb Contemporary, Christian Bök -- After Language Poetry in UbuWeb Papers, Christian Bök -- ""The Square Root of -1"" in UbuWeb Papers, Christian Bök -- ""Notes Toward a Potential Robopoetics""","https://ubu.com/contemp/bok/bok.html, https://ubu.com/papers/oei/bok.html, https://ubu.com/papers/ol/bok.html, https://ubu.com/papers/object/03_bok.pdf",Conceptual Writing
String Variables;,https://ubu.com/concept/bok_string.html,"Christian Bök on UbuWeb Contemporary, Christian Bök -- After Language Poetry in UbuWeb Papers, Christian Bök -- ""The Square Root of -1"" in UbuWeb Papers, Christian Bök -- ""Notes Toward a Potential Robopoetics""","https://ubu.com/contemp/bok/bok.html, https://ubu.com/papers/oei/bok.html, https://ubu.com/papers/ol/bok.html, https://ubu.com/papers/object/03_bok.pdf",Conceptual Writing
Vowels,https://ubu.com/concept/bok_vowels.html,"Christian Bök -- After Language Poetry in UbuWeb Papers, Christian Bök -- ""The Square Root of -1"" in UbuWeb Papers, Christian Bök -- ""Notes Toward a Potential Robopoetics""","https://ubu.com/papers/oei/bok.html, https://ubu.com/papers/ol/bok.html, https://ubu.com/papers/object/03_bok.pdf",Conceptual Writing
George Brecht: 3 works: Word Event,https://ubu.com/concept/brecht_word.html,,,Conceptual Writing
3 Aqueous Events,https://ubu.com/concept/brecht_aqueous.html,,,Conceptual Writing
Chair Event,https://ubu.com/concept/brecht_chair.html,,,Conceptual Writing
Victor Burgin: Any Moment,https://ubu.com/concept/burgin_moment.html,,,Conceptual Writing
Donald Burgy: Checkup,https://ubu.com/concept/burgy_checkup.html,next,https://ubu.com/concept/burgy_checkup_02.html,Conceptual Writing
