artist_name,artist_url,works,work_urls,category
Kyle Abraham,https://ubu.com/dance/abraham.html,Pavement (2015),https://ubu.com/dance/abraham_pavement.html,Dance
Sara Kathryn Arledge,https://ubu.com/film/arledge.html,"Introspection (1946), A Selection of Glass Slide Transparencies (1947-1950), What Is A Man? (1958), Interior Garden II (1978)","https://ubu.com/film/arledge_introspection.html, https://ubu.com/film/arledge_slide.html, https://ubu.com/film/arledge_man.html, https://ubu.com/film/arledge_interior.html",Dance
George Balanchine,https://ubu.com/dance/balanchine.html,Balanchine/Stravinsky - Agon (1957),https://ubu.com/dance/balanchine_agon.html,Dance
Les Ballets Russes,https://ubu.com/dance/russes.html,"Igor Stravinsky and Les Ballets Russes, Firebird & Le Sacre du Printempts (2009)",https://ubu.com/dance/russes_sacre.html,Dance
Eugenio Barba,https://ubu.com/dance/barba.html,"Odin Teatret Film II, Physical Training (1972",https://ubu.com/dance/barba_odin.html,Dance
Pina Bausch,https://ubu.com/dance/bausch.html,"Orpheus und Eurydike, Café Müller, Ahnen, Die Klage der Kaiserin aka The Complaint of an Empress, Kontakthof mit Senioren ab ""65"", Pina Bausch: Coffee with Pina (2003), Pina Bausch'la Bir Nefes AKA A Breath With Pina Bausch (2003), Pina Bausch (2006), Dear Pina (2012)","https://ubu.com/dance/bausch_orpheus.html, https://ubu.com/dance/bausch_muller.html, https://ubu.com/dance/bausch_ahnen.html, https://ubu.com/dance/bausch_empress.html, https://ubu.com/dance/bausch_kontakthof.html, https://ubu.com/dance/bausch_coffee.html, https://ubu.com/dance/bausch_breath.html, https://ubu.com/dance/bausch_linsel.html, https://ubu.com/dance/bausch_dear.html",Dance
Maurice Béjart,https://ubu.com/dance/bejart.html,Le Sacre du printemps,https://ubu.com/dance/bejart_sacre.html,Dance
Jérôme Bel,https://ubu.com/dance/bel.html,"Jérôme Bel (1995), Shirtology, The Show Must Go On, The Last Performance (A Lecture), Pichet Klunchun and Myself","https://ubu.com/dance/bel_bel.html, https://ubu.com/dance/bel_shirtology.html, https://ubu.com/dance/bel_show.html, https://ubu.com/dance/bel_last.html, https://ubu.com/dance/bel_pichet.html",Dance
Ann Van den Broek,https://ubu.com/dance/broek.html,The Co(te)lette Film,https://ubu.com/dance/broek_colette.html,Dance
Trisha Brown,https://ubu.com/dance/brown.html,"Man Walking Down the Side of a Building (1970), Leaning Duets (1970), Walking on the Wall (1971), Roof Piece (1971), Primary Accumulation (1972), Watermotor, Babette Mangolte, Accumulation with Talking Plus Watermotor, Trisha Brown in Conversation with Klaus Kertess","https://ubu.com/dance/brown_side.html, https://ubu.com/dance/brown_leaning.html, https://ubu.com/dance/brown_wall.html, https://ubu.com/dance/brown_roof.html, https://ubu.com/dance/brown_primary.html, https://ubu.com/film/brown_watermotor.html, https://ubu.com/film/mangolte.html, https://ubu.com/dance/brown_accumulation.html, https://ubu.com/dance/brown_kertess.html",Dance
