artist_name,artist_url,works,work_urls,category
Adel Abidin,https://ubu.com/film/abidin.html,Bread of Life (2008),https://ubu.com/film/abidin_bread.html,Film & Video
Marina Abramoviç,https://ubu.com/film/abramovic.html,"Ulay, 9 Performances: Relation Work (1976-1980), Modus Vivendi (1979-1986), City of angels (1983), Continental Videoseries 1983-1986, The Lovers (The Great Wall: Lovers at the Brink) (1988), China Ring (1988), Four Performances, Balkan Erotic Epic, Seven Easy Pieces by Marina Abramoviç, Babette Mangolte, Dangerous Games, Marina Abramoviç in UbuWeb Sound","https://ubu.com/film/ulay.html, https://ubu.com/film/abramovic-ulay_relation-work.html, https://ubu.com/film/abramovic-ulay_modus.html, https://ubu.com/film/abramovic_city.html, https://ubu.com/film/abramovic-ulay_continental.html, https://ubu.com/film/abramovic-ulay_wall.html, https://ubu.com/film/abramovic-ulay_china-ring.html, https://ubu.com/film/abramovic_four.html, https://ubu.com/film/abramovic_balkan.html, https://ubu.com/film/abramovic_seven.html, https://ubu.com/film/mangolte.html, https://ubu.com/film/abramovic_dangerous.html, https://ubu.com/sound/cage.html",Film & Video
Vito Acconci,https://ubu.com/film/acconci.html,"Applications, Three Adaption Studies, Centers, Conversions, Pryings, Remote Control, Association Area, Claim Excerpts, Two Track, Open Book, Undertone, My Word, Face Off, Seedbed, Theme Song, Willoughby Sharp Videoviews Vito Acconci, Recording Studio From Air Time, Turn On, Command Performance, The Red Tapes, Vito Acconci / Acconci Studio: Interiors. Buildings. Parks., Julia Loktev, Vito Acconci in UbuWeb Sound","https://ubu.com/film/acconci_applications.html, https://ubu.com/film/acconci_adaption.html, https://ubu.com/film/acconci_centers.html, https://ubu.com/film/acconci_conversions.html, https://ubu.com/film/acconci_pryings.html, https://ubu.com/film/acconci_remote.html, https://ubu.com/film/acconci_association.html, https://ubu.com/film/acconci_claim.html, https://ubu.com/film/acconci_two-track.html, https://ubu.com/film/acconci_book.html, https://ubu.com/film/acconci_undertone.html, https://ubu.com/film/acconci_word.html, https://ubu.com/film/acconci_face.html, https://ubu.com/film/acconci_seedbed.html, https://ubu.com/film/acconci_theme.html, https://ubu.com/film/acconci_sharp.html, https://ubu.com/film/acconci_airtime.html, https://ubu.com/film/acconci_turn-on.html, https://ubu.com/film/acconci_command.html, https://ubu.com/film/acconci_red1.html, https://ubu.com/film/loktev_acconci-buildings.html, https://ubu.com/film/loktev.html, https://ubu.com/sound/acconci.html",Film & Video
Kathy Acker,https://ubu.com/film/acker.html,"Kathy Acker & Alan Sondheim - The Blue Tapes (1972), The South Bank Show: Kathy Acker (1984), Kathy Acker Interviews William S. Burroughs, Wer hat Angst vor Kathy Acker? aka Who´s Afraid of Kathy Acker ? (2007), Kathy Acker in UbuWeb Sound","https://ubu.com/film/acker_sondheim.html, https://ubu.com/film/acker_south.html, https://ubu.com/film/burroughs_acker.html, https://ubu.com/film/acker_afraid.html, https://ubu.com/sound/acker.html",Film & Video
Reza Abdoh,https://ubu.com/film/abdoh.html,"Sleeping with the Devil, The Hip-Hop Waltz of Eurydice, Bogeyman, Daddy's Girl, The Weeping Song, The Law of Remains, Tight Right White","https://ubu.com/film/abdoh_devil.html, https://ubu.com/film/abdoh_hip.html, https://ubu.com/film/abdoh_bogey.html, https://ubu.com/film/abdoh_daddy.html, https://ubu.com/film/abdoh_weeping.html, https://ubu.com/film/abdoh_remains.html, https://ubu.com/film/abdoh_tight.html",Film & Video
Masao Adachi,https://ubu.com/film/adachi.html,"Gingakei AKA Galaxy (1967), A.K.A. Serial Killer (1969), Sekigun-PFLP: Sekai Senso Sengen (The Red Army/PFLP: Declaration of World War) [1971]","https://ubu.com/film/adachi_galaxy.html, https://ubu.com/film/adachi_serial.html, https://ubu.com/film/adachi_red.html",Film & Video
Adbusters,https://ubu.com/film/adbusters.html,The Production of Meaning,https://ubu.com/film/adbusters_meaning.html,Film & Video
Bas Jan Ader,https://ubu.com/film/ader.html,Selected Works (1970-1971),https://ubu.com/film/ader_selected.html,Film & Video
Yalda Afsah,https://ubu.com/film/afsah.html,Tourneur (2018),https://ubu.com/film/afsah_tourneur.html,Film & Video
Ali Asghar Agahbanaei,https://ubu.com/film/agahbanaei.html,,,Film & Video
