"identifier","title","artist","category","mediatype","url"
"hollywoodbabylon00ange","Hollywood Babylon","Kenneth Anger","film_and_cinema","texts","https://archive.org/details/hollywoodbabylon00ange"
"urbanutopiasintw0000fish","Urban utopias in the twentieth century : Ebenezer Howard, Frank Lloyd Wright, and Le Corbusier","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/urbanutopiasintw0000fish"
"masterpiecesofwo03magi","Masterpieces of world literature in digest form","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/masterpiecesofwo03magi"
"WalterDeanecorr00DeanI","Walter Deane correspondence. 1854-1929 (inclusive), 1884-1929 (bulk)","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/WalterDeanecorr00DeanI"
"historyofswansea1667wrig","History of Swansea, Massachusetts, 1667-1917","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/historyofswansea1667wrig"
"solomonrg00wrig","The Solomon R. Guggenheim Museum, New York : Frank Lloyd Wright architect","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/solomonrg00wrig"
"solowrig00solo","The Solomon R. Guggenheim Museum. Architect, Frank Lloyd Wright","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/solowrig00solo"
"hollywoodbabylon0000kenn","Hollywood Babylon: The Legendary Underground Classic of Hollywood's Darkest and Best Kept Secrets","Kenneth Anger","film_and_cinema","texts","https://archive.org/details/hollywoodbabylon0000kenn"
"mussolinisitaly005773mbp","Mussolini S Italy","Mussolini","figures","texts","https://archive.org/details/mussolinisitaly005773mbp"
"fascistmovementi00gorguoft","The Fascist Movement in Italian life;","Mussolini","figures","texts","https://archive.org/details/fascistmovementi00gorguoft"
"lifeofbenitomuss013661mbp","The Life Of Benito Mussolini","Mussolini","figures","texts","https://archive.org/details/lifeofbenitomuss013661mbp"
"franklloydwright00ande","The Frank Lloyd Wright collection of Japanese antique prints","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/franklloydwright00ande"
"decorativedesign00fran","The decorative designs of Frank Lloyd Wright","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/decorativedesign00fran"
"masterbuildersle0000blak","The master builders : Le Corbusier, Mies van der Rohe, Frank Lloyd Wright","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/masterbuildersle0000blak"
"misfortunesofvir0000sade","The misfortunes of virtue, and other early tales","Marquis de Sade","literature","texts","https://archive.org/details/misfortunesofvir0000sade"
"SawdustCaesarTheUntoldStoryOfMussoliniAndFascism","Sawdust Caesar: The Untold History of Mussolini and Fascism","Mussolini","figures","texts","https://archive.org/details/SawdustCaesarTheUntoldStoryOfMussoliniAndFascism"
"in.ernet.dli.2015.217879","The Political And Social Doctrine Of Fascism","Mussolini","figures","texts","https://archive.org/details/in.ernet.dli.2015.217879"
"Mussolinidavicino","Mussolini, da vicino","Mussolini","figures","texts","https://archive.org/details/Mussolinidavicino"
"SchumachersTaliesinLineOfDecorativeFabricsAndWallpapersDesignedBy","Schumacher's Taliesin line of decorative fabrics and wallpapers / designed by Frank Lloyd Wright.","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/SchumachersTaliesinLineOfDecorativeFabricsAndWallpapersDesignedBy"
"EisensteinImageSensor","Фрэнк Л. Райт - [1960] - Будущее архитектуры","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/EisensteinImageSensor"
"franklloydwright0000hoff","Frank Lloyd Wright's Fallingwater : the house and its history","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/franklloydwright0000hoff"
"threeamericanarc00jame","Three American architects : Richardson, Sullivan, and Wright, 1865-1915","Frank Lloyd Wright","visual_art_and_artists","texts","https://archive.org/details/threeamericanarc00jame"
"Minutemen1987","Minutemen - Double Nickels on the Dime (1987 Deleted Mike Watt Remix) SST CCD 028","Minutemen","music_and_sound","audio","https://archive.org/details/Minutemen1987"
"MINUTEMEN_201602","MINUTEMEN","Minutemen","music_and_sound","audio","https://archive.org/details/MINUTEMEN_201602"
"MinutemenSpecialOnKboo","Minutemen Special on KBOO","Minutemen","music_and_sound","audio","https://archive.org/details/MinutemenSpecialOnKboo"
"Lewisand1950","Lewis and Clark","Larry Clark","film_and_cinema","movies","https://archive.org/details/Lewisand1950"
