artist_name,artist_url,works,work_urls,content_html,category
No. 1: The Black Box,https://ubu.com/aspen/aspen1/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""6,8,118,2,125,123,110,119,63,119,63,160,14,164,6,7"" href=""jazzDuel.html"" alt=""Jazz: A Cool Duel"">&#10;    <area shape=""POLY"" coords=""68,123,119,123,131,128,145,139,152,152,154,168,152,184,146,197,136,205,125,211,110,214,67,213,67,124"" href=""audio1.html"" alt=""Audio: Two Sides of Jazz"">&#10;    <area shape=""POLY"" coords=""18,171,67,174,67,214,114,214,123,212,129,209,122,318,27,320,26,327,12,327,19,170"" href=""skiRoaming.html"" alt=""Ski-Roaming"">&#10;    <area shape=""POLY"" coords=""27,320,138,320,138,473,125,474,128,416,27,411,27,319"" href=""sanctuary.html"" alt=""The Benedict House"">&#10;    <area shape=""POLY"" coords=""14,413,125,420,118,527,30,527,30,566,4,566,14,412,15,414"" href=""ptarmigan.html"" alt=""The White-Tailed Ptarmigan"">&#10;    <area shape=""RECT"" coords=""31,529,143,676"" href=""configurations.html"" alt=""Configurations of the New World"">&#10;</map>&#10;&#10;<map name=""map2"">&#10;    <area shape=""POLY"" coords=""42,13,150,13,150,156,134,156,134,64,42,64"" href=""letter.html"" alt=""A Letter from Phyllis Johnson"">&#10;</map>&#10;&#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 2: The White Box,https://ubu.com/aspen/aspen2/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;<map name=""map1"">&#10;    <area shape=""RECT"" coords=""66,355,120,428"" href=""youngOuts.html"" alt=""Young Outs vs. The Establishment"">&#10;    <area shape=""RECT"" coords=""4,356,59,427"" href=""canyon.html"" alt=""Death of a Canyon"">&#10;    <area shape=""RECT"" coords=""65,276,121,349"" href=""murrays.html"" alt=""The Robert Murrays"">&#10;    <area shape=""RECT"" coords=""4,276,60,349"" href=""skiRacing.html"" alt=""Ski Racing"">&#10;    <area shape=""CIRCLE"" coords=""62,163,50"" href=""audio2.html"" alt=""Audio: Works by Alexander Scriabin"">&#10;    <area shape=""RECT"" coords=""33,3,89,76"" href=""scriabin.html"" alt=""Scriabin Again and Again"">&#10;</map>&#10;&#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 3: The Pop Art Issue,https://ubu.com/aspen/aspen3/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""226,190,242,132,260,111,276,104,299,104,315,113,328,128,334,147,331,163,319,214,228,190,227,190"" href=""audio3.html"">&#10;    <area shape=""POLY"" coords=""108,28,206,17,207,28,159,28,159,156,130,158,129,42,110,43,109,28"" href=""bandstand.html"">&#10;    <area shape=""POLY"" coords=""162,29,263,29,263,49,207,43,196,162,161,162,161,30"" href=""criticsDesk.html"">&#10;    <area shape=""POLY"" coords=""227,180,196,177,209,44,309,54,302,103,288,99,274,101,257,108,246,121,238,134"" href=""danceFloor.html"">&#10;</map> &#10;&#10;<map name=""map2"">&#10;    <area shape=""POLY"" coords=""9,241,5,161,124,155,127,235,10,241"" href=""powers.html"">&#10;    <area shape=""RECT"" coords=""7,2,122,89"" href=""randHouse.html"">    &#10;</map> &#10;&#10;<map name=""map3"">&#10;    <area shape=""RECT"" coords=""4,76,95,124"" href=""tenTrips.html"">&#10;    <area shape=""RECT"" coords=""4,2,98,45"" href=""flipbook.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre> &#10;&#10;			 &#10;<pre></pre> &#10;&#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 4: The McLuhan Issue,https://ubu.com/aspen/aspen4/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""87,536,140,539,134,676,81,674,86,536"" href=""psycles.html"">&#10;    <area shape=""POLY"" coords=""34,436,107,435,111,534,84,533,82,546,39,549,36,437"" href=""brailleTrail.html"">&#10;    <area shape=""POLY"" coords=""53,360,116,362,129,372,137,382,144,397,145,411,141,424,136,434,127,442,117,448,110,450,109,435,46,435"" href=""audio4.html"">&#10;    <area shape=""POLY"" coords=""14,287,122,281,128,368,118,364,105,361,88,360,52,360,50,396,19,397,15,287"" href=""electronics.html"">&#10;    <area shape=""POLY"" coords=""5,203,151,203,151,312,125,312,122,278,13,285,16,311,3,311,3,203"" href=""diary.html"">&#10;    <area shape=""POLY"" coords=""47,74,146,76,141,202,41,202,45,74"" href=""tvGeneration.html"">&#10;    <area shape=""POLY"" coords=""12,8,122,3,126,76,45,74,42,175,18,175,12,7"" href=""massage.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 5+6: The Minimalism Issue,https://ubu.com/aspen/aspen5and6/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;&#10;<map name=""map1"">&#10;    <area shape=""CIRCLE"" coords=""65,490,48"" href=""audio5C.html"">&#10;    <area shape=""CIRCLE"" coords=""66,381,48"" href=""audio5B.html"">&#10;    <area shape=""CIRCLE"" coords=""65,272,48"" href=""audio5A.html"">&#10;    <area shape=""RECT"" coords=""17,113,115,212"" href=""threeEssays.html"">&#10;    <area shape=""RECT"" coords=""17,3,115,102"" href=""contents.html"">&#10;</map> &#10;<map name=""map2"">&#10;    <area shape=""RECT"" coords=""267,46,316,97"" href=""mazeModel7.html"">&#10;    <area shape=""POLY"" coords=""204,48,225,48,225,30,260,30,260,96,205,96,205,48"" href=""mazeModel6.html"">&#10;    <area shape=""POLY"" coords=""131,4,181,4,182,22,196,21,196,96,131,96"" href=""mazeModel4.html"">&#10;    <area shape=""POLY"" coords=""57,4,108,4,108,21,124,22,124,96,57,96,57,6"" href=""mazeModel2.html"">&#10;    <area shape=""RECT"" coords=""0,3,51,97"" href=""mazeModel3.html"">&#10;</map> &#10;<map name=""map3"">&#10;    <area shape=""CIRCLE"" coords=""64,161,49"" href=""audio5E.html"">&#10;    <area shape=""CIRCLE"" coords=""64,52,49"" href=""audio5D.html"">&#10;</map> &#10;<map name=""map4"">&#10;    <area shape=""RECT"" coords=""447,4,546,103"" href=""sevenTiers.html"">&#10;    <area shape=""RECT"" coords=""336,4,435,103"" href=""serialProject.html"">&#10;    <area shape=""RECT"" coords=""225,4,324,104"" href=""poem.html"">&#10;    <area shape=""RECT"" coords=""113,4,213,103"" href=""repair.html"">&#10;    <area shape=""RECT"" coords=""2,4,101,103"" href=""russian.html"">&#10;</map> &#10;<map name=""map5"">&#10;    <area shape=""RECT"" coords=""446,4,545,103"" href=""jealousy.html"">&#10;    <area shape=""RECT"" coords=""337,4,436,103"" href=""mazeDrawings.html"">&#10;    <area shape=""RECT"" coords=""225,4,324,103"" href=""fontana.html"">&#10;    <area shape=""RECT"" coords=""113,4,213,103"" href=""denmark.html"">&#10;    <area shape=""RECT"" coords=""2,4,101,103"" href=""structuralPlay.html"">&#10;</map> <map name=""map6"">&#10;    <area shape=""RECT"" coords=""124,2,175,96"" href=""mazeModel1.html"">&#10;    <area shape=""POLY"" coords=""61,46,77,47,79,30,116,30,116,95,61,95,61,47"" href=""mazeModel8.html"">&#10;    <area shape=""RECT"" coords=""2,44,52,94"" href=""mazeModel5.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre>&#10;<img src=""images/index5and6illo5.gif"" alt="""" width=""550"" height=""121"" hspace=""25"" border=""0"" usemap=""#map4""> &#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre>&#10;<img src=""images/index5and6illo6.gif"" alt="""" width=""550"" height=""121"" hspace=""25"" border=""0"" usemap=""#map5""> &#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 6A: The Performance Issue,https://ubu.com/aspen/aspen6A/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""55,458,167,465,156,614,44,606"" href=""easthampton.html"">&#10;    <area shape=""POLY"" coords=""12,402,159,397,162,463,53,456,48,516,16,516,12,403"" href=""calligraphy.html"">&#10;    <area shape=""RECT"" coords=""37,248,151,397"" href=""softTransformations.html"">&#10;    <area shape=""POLY"" coords=""5,173,120,166,122,246,37,246,38,361,18,363,6,174"" href=""pushAndPull.html"">&#10;    <area shape=""POLY"" coords=""70,101,166,110,157,223,126,220,122,164,65,169,71,101"" href=""no.html"">&#10;    <area shape=""POLY"" coords=""48,41,48,42,141,48,136,105,70,100,65,159,42,158"" href=""skyChange.html"">&#10;    <area shape=""POLY"" coords=""11,3,106,3,106,45,47,41,42,118,11,118"" href=""peaceObject.html"">&#10;</map> &#10;<map name=""map2"">&#10;    <area shape=""POLY"" coords=""502,21,575,17,582,132,508,137,501,22"" href=""deteriorations.html"">&#10;    <area shape=""POLY"" coords=""409,18,409,19,499,28,502,55,493,141,397,131,410,19"" href=""labyrinths.html"">&#10;    <area shape=""POLY"" coords=""324,7,415,11,414,17,407,16,396,124,317,118,324,8"" href=""destruction.html"">&#10;    <area shape=""RECT"" coords=""218,17,314,131"" href=""heavyYoga.html"">&#10;    <area shape=""POLY"" coords=""116,9,209,3,215,117,124,122,117,9"" href=""divisions.html"">&#10;    <area shape=""POLY"" coords=""11,13,106,3,118,118,21,128"" href=""vikingDada.html"">&#10;</map>&#10;&#10;&#10;<img src=""images/index6Aillo3.gif"" alt="""" width=""588"" height=""156"" vspace=""24"" border=""0"" usemap=""#map2""> &#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 7: The British Issue,https://ubu.com/aspen/aspen7/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;&#10;<map name=""map1"">&#10;    <area shape=""RECT"" coords=""96,594,139,650"" href=""diary.html"">&#10;    <area shape=""POLY"" coords=""32,445,161,444,161,574,31,574,31,445"" href=""souvenir2.html"">&#10;    <area shape=""POLY"" coords=""4,387,136,387,135,443,31,443,31,518,4,518"" href=""souvenir1.html"">&#10;    <area shape=""POLY"" coords=""34,280,162,280,162,409,136,409,136,386,33,386,33,280"" href=""londonScene.html"">&#10;    <area shape=""POLY"" coords=""6,163,136,163,136,279,32,279,32,294,5,293,5,163"" href=""gayAtomic.html"">&#10;    <area shape=""POLY"" coords=""86,95,162,96,162,216,137,216,137,162,86,162,87,96"" href=""orderForm.html"">&#10;    <area shape=""POLY"" coords=""9,2,140,2,140,95,85,95,85,133,9,132,10,2"" href=""knickers.html"">&#10;</map> &#10;<map name=""map2"">&#10;    <area shape=""RECT"" coords=""187,27,298,137"" href=""audio7B.html"">&#10;    <area shape=""POLY"" coords=""106,5,216,5,216,26,186,26,186,117,106,117,106,6,107,6"" href=""audio7A.html"">&#10;    <area shape=""POLY"" coords=""2,2,131,2,131,5,104,5,104,119,131,119,130,133,2,132,2,1"" href=""lyrics.html"">&#10;</map> &#10;<map name=""map3"">&#10;    <area shape=""RECT"" coords=""23,173,153,304"" href=""rumpelstiltsken.html"">&#10;    <area shape=""POLY"" coords=""3,89,133,89,133,171,20,171,20,221,3,221,3,88"" href=""waveRock.html"">&#10;    <area shape=""POLY"" coords=""22,2,154,2,154,133,135,133,135,88,21,88,22,1"" href=""europa.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;</pre> &#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 8: The Fluxus Issue,https://ubu.com/aspen/aspen8/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;&#10;<map name=""map1"">&#10;    <area shape=""RECT"" coords=""4,949,90,1050"" href=""subscribe8.html"">&#10;    <area shape=""POLY"" coords=""23,948,23,848,136,848,136,961,91,961,91,950,23,949"" href=""parkingLot.html"">&#10;    <area shape=""POLY"" coords=""4,758,150,758,150,873,138,873,138,845,21,845,21,873,4,873,5,758"" href=""strata.html"">&#10;    <area shape=""RECT"" coords=""21,649,138,757"" href=""ecologic.html"">&#10;    <area shape=""POLY"" coords=""5,559,91,559,91,649,20,649,20,710,3,710,3,559"" href=""youngTurtle.html"">&#10;    <area shape=""POLY"" coords=""35,490,136,490,137,624,93,624,93,558,35,558,35,491"" href=""machBands.html"">&#10;    <area shape=""POLY"" coords=""4,400,152,400,152,549,138,548,138,489,33,489,33,548,3,547,3,399"" href=""threeDistributions.html"">&#10;    <area shape=""RECT"" coords=""7,307,137,398"" href=""waveform.html"">&#10;    <area shape=""POLY"" coords=""4,228,105,228,105,306,6,306,6,360,3,359,3,228"" href=""leadPendulum.html"">&#10;    <area shape=""POLY"" coords=""29,179,137,179,137,286,108,286,108,226,29,226"" href=""audio8.html"">&#10;    <area shape=""POLY"" coords=""3,75,63,75,63,99,109,100,109,176,25,176,25,212,3,212"" href=""onePlusOne.html"">&#10;    <area shape=""RECT"" coords=""64,27,117,99"" href=""hotCold.html"">&#10;    <area shape=""RECT"" coords=""13,2,122,23"" href=""threeMusics.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 9: The Psychedelic Issue,https://ubu.com/aspen/aspen9/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;&#10;&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""115,822,172,819,178,969,123,972,114,821"" href=""sentential.html"">&#10;    <area shape=""POLY"" coords=""44,890,118,890,121,973,152,971,152,1000,44,1000,44,890"" href=""audio9.html"">&#10;    <area shape=""POLY"" coords=""28,772,140,773,139,820,113,821,116,889,42,889,42,921,28,920,29,772"" href=""dreamMusic.html"">&#10;    <area shape=""POLY"" coords=""14,685,163,684,162,798,142,799,141,769,26,770,26,797,14,798,15,685"" href=""soul.html"">&#10;    <area shape=""POLY"" coords=""50,554,159,562,148,684,40,684"" href=""poetrySheet.html"">&#10;    <area shape=""POLY"" coords=""2,495,167,496,168,610,157,610,160,559,48,551,44,611,2,611"" href=""vali.html"">&#10;    <area shape=""POLY"" coords=""23,407,172,400,176,510,169,511,168,494,27,495,22,406"" href=""westerns.html"">&#10;    <area shape=""POLY"" coords=""53,289,158,296,152,400,45,405,52,289"" href=""luma.html"">&#10;    <area shape=""POLY"" coords=""28,256,150,256,150,293,50,287,46,370,28,370"" href=""triptych.html"">&#10;    <area shape=""POLY"" coords=""103,190,169,192,165,335,158,335,159,294,153,293,153,254,63,254,66,203,104,203,104,191"" href=""musicalScores.html"">&#10;    <area shape=""RECT"" coords=""22,146,101,202"" href=""invasion.html"">&#10;    <area shape=""POLY"" coords=""33,7,131,3,138,168,102,171,102,145,38,145,34,8"" href=""goeralegan.html"">&#10;</map>&#10;&#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
No. 10: The Asia Issue,https://ubu.com/aspen/aspen10/index.html,,,"<div align=""center"">&#10;<a name=""top""></a>&#10;&#10;&#10;	&#10;&#10;&#10;<pre>&#10;</pre>&#10;<!--end header-->&#10;<map name=""map1"">&#10;    <area shape=""POLY"" coords=""6,1,160,1,160,100,20,100,20,125,6,125,6,1"" href=""autumn.html"">&#10;    <area shape=""POLY"" coords=""21,104,175,104,175,229,132,229,132,160,21,160,21,104"" href=""thou.html"">&#10;    <area shape=""POLY"" coords=""61,161,130,161,130,293,122,293,122,315,99,315,99,294,36,294,36,315,6,315,6,161"" href=""yama.html"">&#10;    <area shape=""RECT"" coords=""37,296,96,385"" href=""indian.html"">&#10;    <area shape=""RECT"" coords=""124,295,170,385"" href=""first.html"">&#10;    <area shape=""POLY"" coords=""8,396,108,396,108,453,57,453,57,486,8,486,8,396"" href=""monkeys.html"">&#10;    <area shape=""RECT"" coords=""59,455,158,533"" href=""waves.html"">&#10;    <area shape=""POLY"" coords=""8,534,160,534,160,615,124,615,124,607,27,607,27,616,8,616,8,534"" href=""brush.html"">&#10;    <area shape=""POLY"" coords=""28,610,122,610,122,706,57,706,57,733,28,733,28,610"" href=""mountain.html"">&#10;    <area shape=""POLY"" coords=""59,708,157,708,157,797,148,797,148,789,59,789,59,708"" href=""tagasode.html"">&#10;    <area shape=""RECT"" coords=""17,790,147,880"" href=""noh.html"">&#10;    <area shape=""POLY"" coords=""333,886,158,886,158,1040,99,1040,99,1024,33,1024,33,886"" href=""treatise.html"">&#10;    <area shape=""RECT"" coords=""8,1026,97,1146"" href=""order.html"">&#10;</map>&#10;&#10;&#10;&#10;<pre>&#10;&#10;&#10;&#10;&#10;&#10;&#10;&#10;</pre> &#10;&#10;&#10;<!--footer-->&#10;&#10;<pre></pre>&#10;&#10;	&#10;<pre>&#10;&#10;</pre>&#10;</div>",Aspen Magazine
