artist_name,artist_url,works,work_urls,category
"Bruce Andrews -- ""Electronic Poetics""",https://ubu.com/papers/andrews_electronic.html,"Bruce Andrews ""THE POETICS OF L=A=N=G=U=A=G=E"" in UbuWeb Papers, Bruce Andrews ""READING LANGUAGE, READING GERTRUDE STEIN"" in UbuWeb Papers","https://ubu.com/papers/andrews.html, https://ubu.com/papers/andrews_stein.html",Papers
"Bruce Andrews -- ""The Poetics of L=A=N=G=U=A=G=E""",https://ubu.com/papers/andrews.html,,,Papers
"Bruce Andrews -- ""Reading Language, Reading Gertrude Stein""",https://ubu.com/papers/andrews_stein.html,,,Papers
"Debra Bricker Balken -- ""Philip Guston's 'Poor Richard' """,https://ubu.com/papers/balken_guston.html,,,Papers
Roland Barthes -- The Death of the Author,https://ubu.com/aspen/aspen5and6/threeEssays.html#barthes,"index, Duchamp, Samuel Beckett, John Cage, Jasper Johns, Andy Warhol, Alain Robbe-Grillet, Previous","https://ubu.com/aspen/siteIndex.html, https://ubu.com/aspen/aspen5and6/audio5E.html, https://ubu.com/aspen/aspen5and6/audio5A.html, https://ubu.com/aspen/aspen5and6/audio5C.html, https://ubu.com/aspen/aspen3/powers.html#johns, https://ubu.com/aspen/aspen3/powers.html#warhol, https://ubu.com/aspen/aspen5and6/audio5B.html, https://ubu.com/aspen/aspen5and6/contents.html",Papers
"Max Bense -- ""Concrete Poetry I""",https://ubu.com/papers/bense01.html,,,Papers
"Max Bense -- ""Concrete Poetry II""",https://ubu.com/papers/bense02.html,,,Papers
"Charles Bernstein -- ""An Interview with Richard Foreman""",https://ubu.com/papers/foreman_interview.html,"Richard Foreman in UbuWeb Sound, Richard Foreman in /ubu Editions, Charles Bernstein in UbuWeb Sound, Charles Bernstein Interviewed by Marjorie Perloff","https://ubu.com/sound/foreman.html, https://ubu.com/ubu/foreman_commie.html, https://ubu.com/sound/bernstein.html, https://ubu.com/papers/mp_cb.html",Papers
"Sérgio Bessa -- ""Architecture Vs. Sound in Concrete Poetry""",https://ubu.com/papers/bessa.html,,,Papers
"Sérgio Bessa -- ""Originative Poetics of Concrete Poetry""",https://ubu.com/papers/bessa01.html,,,Papers
David Daniels Interview -- by Michael Basinski,https://ubu.com/papers/daniels_interview.html,John Strausbaugh on David Daniels in UbuWeb Papers,https://ubu.com/papers/daniels.html,Papers
"William S. Burroughs -- ""The Cut-Up Method of Brion Gysin""",https://ubu.com/papers/burroughs_gysin.html,,,Papers
"Michel de Certeau -- ""The Practice of Everyday Life""",https://ubu.com/papers/de_certeau.html,,,Papers
"John Robert Colombo -- ""On Found Poetry (A FOUND INTRODUCTION)""",https://ubu.com/papers/found_poetry.html,,,Papers
"R.P. Draper -- ""Concrete Poetry""",https://ubu.com/papers/draper.html,,,Papers
Öyvind Fahlström -- Manifesto,https://ubu.com/papers/fahlstrom01.html,Öyvind Fahlström's Sound Poetry on UbuWeb Sound,https://ubu.com/sound/fahlstrom.html,Papers
"Ian Hamilton Finlay -- ""Letter to Pierre Garnier, 1963""",https://ubu.com/papers/finlay.html,,,Papers
"Henry Flynt -- ""Art or Brend?"" (1968)",https://ubu.com/papers/flynt_art-brend.html,,,Papers
"Pierre Garnier -- ""Poemes Mechaniques, by Piere & Ilse Garnier (1965)""",https://ubu.com/papers/garnier_02.html,Postition I of the International Movement (1963) by Pierre Garnier,https://ubu.com/papers/garnier01.html,Papers
"Pierre Garnier -- ""Position 1 of the International Movement"" (1963)",https://ubu.com/papers/garnier01.html,Pierre Garnier in UbuWeb Sound,https://ubu.com/sound/garnier_p.html,Papers
"John Giorno -- ""Restless: An Interview"" by Daniel Nester (2002)",https://ubu.com/papers/giorno_nester_interview.html,,,Papers
Open Letter: Kenneth Goldsmith & Conceptual Poetics (2006),https://ubu.com/papers/kg_ol.html,"""Introduction"" -- Barbara Cole & Lori Emerson, ""Zero Kerning"" -- Craig Dworkin, ""Encyclopedic Novelties: On Kenneth Goldsmith's Tomes"" -- Molly Schwartzburg, ""from COLDEST"" -- Bruce Andrews, ""KENNY"" -- Geoffrey Young, ""Fidget's Body"" -- Rubén Gallo, ""Fidgeting with the scene of the crime"" -- Derek Beaulieu, ""A Silly Key: Some Notes on Soliloquy by Kenneth Goldsmith"" -- Christian Bök, ""Sampling the Culture: 4 Notes Toward a Poetics of Plundergraphia and on Kenneth Goldsmith's Day"" -- Jason Christie, ""Moving Information"": On Kenneth Goldsmith's The Weather"" -- Marjorie Perloff, ""Stepping out with Kenneth Goldsmith: A New York interview."" -- Caroline Bergvall, ""W. 3rd St. - W. 26th St."" -- Robert Fitterman, ""Paragraphs on Conceptual Writing"" -- Kenneth Goldsmith, ""On Kenneth Goldsmith: The Avant-garde at a Standstill"" -- Joshua Schuster, ""The Medium Means Nothing"" -- Carl Peters, ""Un-Visual and Conceptual"" -- Johanna Drucker, ""The Unboring Boring and the New Dream of Stone, or, if literature does politics as literature, what kind of gender politics does the current literature of the boring enact?"" -- Christine Wertheim, ""sucking on words."" -- Simon Morris, Dr. Howard Britton, ""Uncreative is the New Creative: Kenneth Goldsmith Not Typing"" -- Darren Wershler-Henry","https://ubu.com/papers/kg_ol_intro.html, https://ubu.com/papers/kg_ol_dworkin.html, https://ubu.com/papers/kg_ol_schwartzberg.html, https://ubu.com/papers/kg_ol_andrews.html, https://ubu.com/papers/kg_ol_young.html, https://ubu.com/papers/kg_ol_gallo.html, https://ubu.com/papers/kg_ol_beaulieu.html, https://ubu.com/papers/kg_ol_bok.html, https://ubu.com/papers/kg_ol_christie.html, https://ubu.com/papers/kg_ol_perloff.html, https://ubu.com/papers/kg_ol_bergvall.html, https://ubu.com/papers/kg_ol_fitterman.html, https://ubu.com/papers/kg_ol_goldsmith.html, https://ubu.com/papers/kg_ol_schuster.html, https://ubu.com/papers/kg_ol_peters.html, https://ubu.com/papers/kg_ol_drucker.html, https://ubu.com/papers/kg_ol_wertheim.html, https://ubu.com/papers/kg_ol_morris.pdf, https://ubu.com/papers/kg_ol_wershler.html",Papers
"""Introduction"" -- Barbara Cole & Lori Emerson",https://ubu.com/papers/kg_ol_intro.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
"""Zero Kerning"" -- Craig Dworkin",https://ubu.com/papers/kg_ol_dworkin.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
"""Encyclopedic Novelties: On Kenneth Goldsmith's Tomes"" -- Molly Schwartzberg",https://ubu.com/papers/kg_ol_schwartzberg.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
"""from COLDEST"" -- Bruce Andrews",https://ubu.com/papers/kg_ol_andrews.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
"""KENNY"" -- Geoffrey Young",https://ubu.com/papers/kg_ol_young.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
"""Fidget's Body"" -- Rubén Gallo",https://ubu.com/papers/kg_ol_gallo.html,Open Letter: Kenneth Goldsmith and Conceptual Poetics,https://ubu.com/papers/kg_ol.html,Papers
