artist_name,artist_url,works,work_urls,category
David Aylward,https://ubu.com/vp/Aylward.html,"Typescapes [PDF, 2.6mb],, War Against the Asps. [PDF, 2.2mb],","https://ubu.com/media/text/vp/008_aylward_typescapes_1967.pdf, https://ubu.com/media/text/vp/aylward_war_against_the_asps_1968.pdf",Visual Poetry
Astronauts of Inner Space,https://ubu.com/vp/Astronauts_of_Inner_Space.html,"Astronauts of Inner Space: An International Collection of Avant-garde Activity [PDF, 5mb],",https://ubu.com/media/text/vp/berner_astronauts_of_inner_space_1966.pdf,Visual Poetry
Shaunt Basmajian,https://ubu.com/vp/Basmajian.html,"3 Poems [PDF, 4.9mb], The Resurrection of the Third Happening [PDF 6.1mb], Source Poem [PDF, 6.9mb], Boundaries Limits and Space [PDF, 16.2mb]","https://ubu.com/media/text/vp/basmajian_3_poems_nd.pdf, https://ubu.com/media/text/vp/basmajian_the_resurrection_of_the_third_happening_1976.pdf, https://ubu.com/media/text/vp/basmajian_source_poem_1978.pdf, https://ubu.com/media/text/vp/026_Basmajian_Boundaries_Limits_and_Space_1980.pdf",Visual Poetry
Erica Baum,https://ubu.com/vp/Baum.html,"Study [PDF, 64.6mb]",https://ubu.com/media/text/vp/013_Baum_Study_2011.pdf,Visual Poetry
John M. Bennett,https://ubu.com/vp/bennett.html,"Found Objects, 1973, Works, 1973, Do Not Cough: Selected Labels, 1976, Motel Moods, 1980, The Blur, 1987, Blanksmanship, 1994, Zabod, 2010, John M. Bennett in UbuWeb Sound","https://ubu.com/media/text/bennett/Bennett_John-M_FoundObjects.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_Works.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_DoNotCough.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_MotelMoods.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_TheBlur.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_Blanksmanship.pdf, https://ubu.com/media/text/bennett/Bennett_John-M_Zabod.pdf, https://ubu.com/sound/bennett.html",Visual Poetry
Between Painting and Poetry,https://ubu.com/vp/BetweenPaintingAndPoetry.html,"Between Painting and Poetry [160.8mb, PDF]",https://ubu.com/media/text/vp/between_poetry_and_painting_1965.pdf,Visual Poetry
Hart Broudy,https://ubu.com/vp/Broudy.html,"Cluster: a pome for Corrine. [PDF, 2.6mb],, When I Was Young One Summer [PDF, 3.9mb],","https://ubu.com/media/text/vp/broudy_cluster_1969.pdf, https://ubu.com/media/text/vp/boudy_when_i_was_young_one_summer_1972.pdf",Visual Poetry
Beloit Poetry Journal,https://ubu.com/vp/Beloit_Poetry_Journal.html,"The Beloit Poetry Journal Vol. 17 No. 1 [PDF, 27mb],",https://ubu.com/media/text/vp/bann_beloit_poetry_review_1966.pdf,Visual Poetry
Jaap Blonk,https://ubu.com/vp/Blonk.html,"PhonEmbraces [PDF, 10.1mb], Frictional [PDF, 1.8mb], Rhotic [PDF, 2mb], Just a Thought [PDF, 614kb], Flux de Bouche [PDF, 314kb], Prelabior [PDF, 1.4mb], Labior [PDF, 184kb], facial [PDF, 147kb], Suavecito [PDF, 115kb], Kulo quasi [PDF, 1.1mb]","https://ubu.com/media/text/vp/JB001_Blonk_PhonEmbraces_2007.pdf, https://ubu.com/media/text/vp/JB002_Blonk_frictional_1992.pdf, https://ubu.com/media/text/vp/JB003_Blonk_Rhotic_1991.pdf, https://ubu.com/media/text/vp/JB004_Blonk_Just_a_Thought_1991.pdf, https://ubu.com/media/text/vp/JB005_Blonk_flux_de_bouche_1992.pdf, https://ubu.com/media/text/vp/JB006_Blonk_Prelabior_1998.pdf, https://ubu.com/media/text/vp/JB007_Blonk_Labior_1998.pdf, https://ubu.com/media/text/vp/JB008_Blonk_facial_1998.pdf, https://ubu.com/media/text/vp/JB009_Blonk_Suavecito_1997.pdf, https://ubu.com/media/text/vp/JB010_Blonk_Kulo_quasi_1993.pdf",Visual Poetry
Marcel Broodthaers,https://ubu.com/vp/Broodthaers.html,"Un Coup De Des Jamais N'Abolira Le Hasard [188kb, PDF],, Je Hais le Mouvement qui Deplace Les Lignes [5.1mb, PDF],","https://ubu.com/media/text/vp/broodthaers_un_coup_de_des_jamais_n'abolira_le_hasard_1969.pdf, https://ubu.com/media/text/vp/Broodthaers_Je_Hais_le_Mouvement_qui_deplace_les_lignes_1973.pdf",Visual Poetry
